isogroup gene annotation,
TRINITY_DN18059_c0_g1,Translocon-associated protein subunit gamma OS=Homo sapiens GN=SSR3 PE=1 SV=1 E(blastx)=8e-30
TRINITY_DN39630_c0_g1,Paramyosin OS=Mytilus galloprovincialis PE=2 SV=1 E(blastx)=4e-13
TRINITY_DN13570_c0_g1,Putative E3 ubiquitin-protein ligase UBR7 OS=Homo sapiens GN=UBR7 PE=1 SV=2 E(blastx)=1e-22
TRINITY_DN26366_c0_g1,Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus GN=Syncrip PE=1 SV=2 E(blastx)=3e-51
TRINITY_DN27414_c0_g1,Hypoxia-inducible factor 1-alpha OS=Oncorhynchus mykiss GN=hif1a PE=2 SV=1 E(blastx)=3e-24
TRINITY_DN22930_c0_g1,Mitochondrial import inner membrane translocase subunit tim16-A OS=Xenopus laevis GN=pam16-a PE=2 SV=1 E(blastx)=1e-07
TRINITY_DN14278_c0_g1,Armadillo repeat-containing protein 4 OS=Mus musculus GN=Armc4 PE=1 SV=1 E(blastx)=6e-50
TRINITY_DN103_c0_g1,Kinesin-II 95 kDa subunit OS=Strongylocentrotus purpuratus GN=KRP95 PE=1 SV=1 E(blastx)=4e-19
TRINITY_DN13219_c0_g1,Ankyrin repeat domain-containing protein 53 OS=Mus musculus GN=Ankrd53 PE=2 SV=2 E(blastx)=1e-12
TRINITY_DN30044_c0_g1,DNA polymerase epsilon subunit 4 OS=Homo sapiens GN=POLE4 PE=1 SV=2 E(blastx)=1e-15
TRINITY_DN28642_c0_g1,40S ribosomal protein S26 OS=Octopus vulgaris GN=RPS26 PE=2 SV=1 E(blastx)=6e-45
TRINITY_DN38090_c0_g1,Calmodulin OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) GN=CMD1 PE=1 SV=1 E(blastx)=9e-08
TRINITY_DN2318_c0_g1,Opine dehydrogenase OS=Haliotis discus hannai GN=tadh PE=2 SV=1 E(blastx)=9e-19
TRINITY_DN30205_c0_g1,PX domain-containing protein kinase-like protein OS=Mus musculus GN=Pxk PE=1 SV=2 E(blastx)=4e-32
TRINITY_DN10175_c0_g1,Nitric oxide synthase-interacting protein OS=Bos taurus GN=NOSIP PE=2 SV=1 E(blastx)=2e-38
TRINITY_DN21071_c0_g1,NADH-ubiquinone oxidoreductase chain 3 OS=Lumbricus terrestris GN=ND3 PE=3 SV=1 E(blastx)=1e-14
TRINITY_DN31874_c0_g1,Telomerase protein component 1 OS=Homo sapiens GN=TEP1 PE=1 SV=2 E(blastx)=2e-28
TRINITY_DN29392_c0_g1,Plasma membrane calcium-transporting ATPase 4 OS=Mus musculus GN=Atp2b4 PE=1 SV=1 E(blastx)=3e-40
TRINITY_DN12403_c0_g1,Eukaryotic translation initiation factor 3 subunit J OS=Xenopus tropicalis GN=eif3j PE=2 SV=2 E(blastx)=6e-06
TRINITY_DN9754_c0_g1,Activator of 90 kDa heat shock protein ATPase homolog 2 OS=Bos taurus GN=AHSA2 PE=2 SV=1 E(blastx)=1e-38
TRINITY_DN3055_c0_g1,Tubulin-specific chaperone C OS=Bos taurus GN=TBCC PE=2 SV=1 E(blastx)=9e-09
TRINITY_DN32973_c0_g1,Forkhead box protein K1 OS=Mus musculus GN=Foxk1 PE=1 SV=2 E(blastx)=7e-20
TRINITY_DN4351_c0_g1,Probable ATP-dependent RNA helicase DDX17 OS=Mus musculus GN=Ddx17 PE=1 SV=1 E(blastx)=5e-16
TRINITY_DN20842_c0_g1,Putative methyltransferase C9orf114 homolog OS=Mus musculus GN=D2Wsu81e PE=1 SV=1 E(blastx)=4e-18
TRINITY_DN1056_c0_g1,Outer dense fiber protein 2 OS=Gallus gallus GN=ODF2 PE=2 SV=1 E(blastx)=9e-09
TRINITY_DN34078_c0_g1,Syntaxin OS=Aplysia californica PE=2 SV=1 E(blastx)=5e-17
TRINITY_DN39040_c0_g1,F-BAR domain only protein 2 OS=Mus musculus GN=Fcho2 PE=1 SV=1 E(blastx)=4e-28
TRINITY_DN26616_c0_g1,Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Bos taurus GN=UCHL5 PE=2 SV=1 E(blastx)=2e-25
TRINITY_DN24365_c1_g1,NADH-ubiquinone oxidoreductase chain 2 OS=Anopheles quadrimaculatus GN=ND2 PE=3 SV=1 E(blastx)=5e-05
TRINITY_DN18757_c1_g1,Protein NPC2 homolog OS=Drosophila melanogaster GN=Npc2a PE=2 SV=1 E(blastx)=1e-06
TRINITY_DN34042_c0_g1,Splicing factor U2AF 50 kDa subunit OS=Drosophila melanogaster GN=U2af50 PE=1 SV=1 E(blastx)=1e-10
TRINITY_DN13133_c0_g1,Ferredoxin OS=Euglena viridis PE=1 SV=1 E(blastx)=5e-11
TRINITY_DN29242_c0_g1,40S ribosomal protein S4 OS=Solanum tuberosum GN=RPS4 PE=2 SV=1 E(blastx)=5e-25
TRINITY_DN27313_c0_g1,Abl interactor 2 OS=Mus musculus GN=Abi2 PE=1 SV=1 E(blastx)=4e-24
TRINITY_DN32224_c0_g1,Squalene synthase OS=Pongo abelii GN=FDFT1 PE=2 SV=1 E(blastx)=1e-38
TRINITY_DN27570_c0_g1,Nuclear receptor-binding protein OS=Mus musculus GN=Nrbp1 PE=1 SV=1 E(blastx)=6e-33
TRINITY_DN20486_c0_g1,Galectin-3-binding protein B OS=Danio rerio GN=lgals3bpb PE=2 SV=1 E(blastx)=1e-16
TRINITY_DN26473_c0_g1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 OS=Pelophylax esculentus GN=ATP2A1 PE=2 SV=1 E(blastx)=6e-05
TRINITY_DN29120_c0_g1,Calmodulin OS=Trypanosoma brucei gambiense PE=3 SV=2 E(blastx)=1e-46
TRINITY_DN22568_c0_g1,Dual specificity protein kinase CLK2 OS=Homo sapiens GN=CLK2 PE=1 SV=1 E(blastx)=3e-14
TRINITY_DN15671_c0_g1,Chitotriosidase-1 OS=Homo sapiens GN=CHIT1 PE=1 SV=1 E(blastx)=1e-07
TRINITY_DN30290_c0_g1,Centrosomal protein of 104 kDa OS=Homo sapiens GN=CEP104 PE=1 SV=1 E(blastx)=1e-13
TRINITY_DN39552_c0_g1,14-3-3-like protein 1 OS=Caenorhabditis elegans GN=par-5 PE=1 SV=2 E(blastx)=2e-16
TRINITY_DN26955_c0_g1,Protein disulfide-isomerase OS=Drosophila melanogaster GN=Pdi PE=2 SV=1 E(blastx)=1e-27
TRINITY_DN20290_c0_g1,Alpha-soluble NSF attachment protein OS=Rattus norvegicus GN=Napa PE=1 SV=2 E(blastx)=7e-26
TRINITY_DN37955_c0_g1,RNA-binding protein 42 OS=Bos taurus GN=RBM42 PE=2 SV=1 E(blastx)=6e-54
TRINITY_DN9850_c0_g1,Histone H2AX OS=Tetrahymena thermophila (strain SB210) GN=HTA1 PE=1 SV=2 E(blastx)=2e-35
TRINITY_DN32311_c0_g1,Nuclear fragile X mental retardation-interacting protein 1 OS=Homo sapiens GN=NUFIP1 PE=1 SV=2 E(blastx)=3e-07
TRINITY_DN25860_c0_g1,40S ribosomal protein S15a OS=Drosophila yakuba GN=RpS15Aa PE=2 SV=3 E(blastx)=3e-27
TRINITY_DN28128_c0_g1,Nucleoside diphosphate kinase 7 OS=Bos taurus GN=NME7 PE=2 SV=1 E(blastx)=2e-26
TRINITY_DN36205_c0_g1,Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3 E(blastx)=4e-25
TRINITY_DN30600_c0_g1,"ATP synthase subunit delta, chloroplastic OS=Emiliania huxleyi GN=atpD PE=3 SV=1 E(blastx)=1e-35"
TRINITY_DN2692_c0_g1,Protein regulator of cytokinesis 1 OS=Mus musculus GN=Prc1 PE=1 SV=2 E(blastx)=2e-10
TRINITY_DN29345_c0_g1,Coiled-coil domain-containing protein 146 OS=Rattus norvegicus GN=Ccdc146 PE=1 SV=1 E(blastx)=1e-14
TRINITY_DN28210_c0_g1,Nuclear autoantigenic sperm protein OS=Bos taurus GN=NASP PE=2 SV=2 E(blastx)=4e-17
TRINITY_DN31216_c0_g1,Sphingosine-1-phosphate lyase 1 OS=Homo sapiens GN=SGPL1 PE=1 SV=3 E(blastx)=3e-05
TRINITY_DN24806_c0_g1,Structural maintenance of chromosomes protein 1A OS=Bos taurus GN=SMC1A PE=1 SV=1 E(blastx)=6e-40
TRINITY_DN27912_c0_g1,Exportin-7 OS=Homo sapiens GN=XPO7 PE=1 SV=3 E(blastx)=9e-19
TRINITY_DN28719_c0_g1,40S ribosomal protein S28 OS=Ictalurus punctatus GN=rps28 PE=3 SV=1 E(blastx)=7e-22
TRINITY_DN38814_c0_g1,"Outer envelope protein 64, chloroplastic OS=Arabidopsis thaliana GN=OEP64 PE=1 SV=1 E(blastx)=3e-12"
TRINITY_DN4035_c0_g1,BTB/POZ domain-containing protein KCTD20 OS=Homo sapiens GN=KCTD20 PE=1 SV=1 E(blastx)=2e-39
TRINITY_DN17496_c0_g1,Glutamate--cysteine ligase OS=Drosophila melanogaster GN=Gclc PE=2 SV=1 E(blastx)=4e-21
TRINITY_DN30427_c0_g1,Gamma-aminobutyric acid receptor-associated protein OS=Rattus norvegicus GN=Gabarap PE=1 SV=1 E(blastx)=7e-12
TRINITY_DN21712_c0_g1,Striatin-3 OS=Bos taurus GN=STRN3 PE=2 SV=1 E(blastx)=2e-16
TRINITY_DN20716_c0_g1,RNA-binding protein NOB1 OS=Macaca fascicularis GN=NOB1 PE=2 SV=1 E(blastx)=1e-16
TRINITY_DN28103_c0_g1,Regulator of G-protein signaling 7 OS=Bos taurus GN=RGS7 PE=1 SV=1 E(blastx)=5e-37
TRINITY_DN25897_c0_g1,60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3 E(blastx)=1e-23
TRINITY_DN17719_c0_g1,Caveolin-1 OS=Caenorhabditis elegans GN=cav-1 PE=2 SV=1 E(blastx)=2e-11
TRINITY_DN29375_c0_g1,DNA topoisomerase 2-alpha OS=Gallus gallus GN=TOP2A PE=2 SV=2 E(blastx)=1e-35
TRINITY_DN111_c0_g1,40S ribosomal protein S15 OS=Bos taurus GN=RPS15 PE=2 SV=3 E(blastx)=3e-34
TRINITY_DN5857_c0_g1,"Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1 E(blastx)=4e-41"
TRINITY_DN23820_c0_g1,Ubiquitin-40S ribosomal protein S27a OS=Gallus gallus GN=RPS27A PE=2 SV=3 E(blastx)=2e-27
TRINITY_DN26435_c0_g1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens GN=SMARCA5 PE=1 SV=1 E(blastx)=6e-31
TRINITY_DN33981_c0_g1,G2/mitotic-specific cyclin-A OS=Patella vulgata PE=2 SV=1 E(blastx)=6e-29
TRINITY_DN34768_c0_g1,A-kinase anchor protein 14 OS=Rattus norvegicus GN=Akap14 PE=2 SV=1 E(blastx)=4e-24
TRINITY_DN37737_c0_g1,Coiled-coil domain-containing protein 113 OS=Homo sapiens GN=CCDC113 PE=1 SV=1 E(blastx)=2e-18
TRINITY_DN36213_c0_g1,Ganglioside GM2 activator OS=Macaca fascicularis GN=GM2A PE=2 SV=2 E(blastx)=2e-12
TRINITY_DN13954_c0_g1,AP-1 complex subunit beta-1 OS=Mus musculus GN=Ap1b1 PE=1 SV=2 E(blastx)=6e-25
TRINITY_DN38710_c0_g1,DnaJ homolog subfamily C member 3 OS=Gallus gallus GN=DNAJC3 PE=2 SV=1 E(blastx)=7e-24
TRINITY_DN17292_c0_g1,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1 E(blastx)=9e-36
TRINITY_DN14677_c0_g1,Transmembrane protein 258 OS=Danio rerio GN=tmem258 PE=3 SV=1 E(blastx)=3e-29
TRINITY_DN27773_c0_g1,Structural maintenance of chromosomes protein 3 OS=Rattus norvegicus GN=Smc3 PE=1 SV=1 E(blastx)=3e-20
TRINITY_DN8379_c0_g1,PCNA-associated factor OS=Bos taurus GN=PCLAF PE=3 SV=1 E(blastx)=1e-14
TRINITY_DN16450_c0_g1,60S ribosomal protein L3 OS=Drosophila melanogaster GN=RpL3 PE=1 SV=3 E(blastx)=5e-47
TRINITY_DN26747_c0_g1,Conserved oligomeric Golgi complex subunit 1 OS=Mus musculus GN=Cog1 PE=1 SV=3 E(blastx)=9e-10
TRINITY_DN25412_c0_g1,RNA-binding protein NOB1 OS=Bos taurus GN=NOB1 PE=2 SV=1 E(blastx)=7e-11
TRINITY_DN27764_c0_g1,Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Oreochromis niloticus GN=gnb2l1 PE=2 SV=1 E(blastx)=1e-13
TRINITY_DN12544_c0_g1,Elongation factor 2 OS=Cricetulus griseus GN=EEF2 PE=1 SV=4 E(blastx)=1e-29
TRINITY_DN37129_c0_g1,Zinc finger protein mnm-2 OS=Caenorhabditis elegans GN=mnm-2 PE=1 SV=2 E(blastx)=8e-10
TRINITY_DN28070_c0_g1,WW domain-binding protein 11 OS=Rattus norvegicus GN=Wbp11 PE=1 SV=1 E(blastx)=2e-09
TRINITY_DN9977_c0_g1,Ankyrin repeat domain-containing protein 42 OS=Mus musculus GN=Ankrd42 PE=2 SV=1 E(blastx)=3e-24
TRINITY_DN12461_c0_g1,Translation initiation factor eIF-2B subunit epsilon OS=Rattus norvegicus GN=Eif2b5 PE=1 SV=2 E(blastx)=9e-07
TRINITY_DN33991_c0_g1,Arylsulfatase J OS=Mus musculus GN=Arsj PE=2 SV=1 E(blastx)=6e-15
TRINITY_DN19218_c0_g1,Ubiquitin-conjugating enzyme E2 L3 OS=Mus musculus GN=Ube2l3 PE=1 SV=1 E(blastx)=3e-26
TRINITY_DN27529_c0_g1,Ribosome-binding protein 1 OS=Homo sapiens GN=RRBP1 PE=1 SV=4 E(blastx)=2e-07
TRINITY_DN32834_c0_g1,Very low-density lipoprotein receptor OS=Homo sapiens GN=VLDLR PE=1 SV=1 E(blastx)=9e-09
TRINITY_DN11460_c0_g1,Ubiquitin carboxyl-terminal hydrolase 14 OS=Mus musculus GN=Usp14 PE=1 SV=3 E(blastx)=6e-34
TRINITY_DN25807_c0_g1,Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Biomphalaria glabrata PE=2 SV=1 E(blastx)=1e-07
TRINITY_DN14536_c0_g1,Phosphoethanolamine N-methyltransferase OS=Spinacia oleracea GN=PEAMT PE=1 SV=1 E(blastx)=5e-10
TRINITY_DN35856_c0_g1,Sodium-dependent phosphate transporter 1 OS=Xenopus tropicalis GN=slc20a1 PE=2 SV=1 E(blastx)=9e-19
TRINITY_DN27919_c0_g1,Sorting nexin-12 OS=Homo sapiens GN=SNX12 PE=1 SV=3 E(blastx)=9e-18
TRINITY_DN3298_c0_g1,40S ribosomal protein S4 OS=Carabus granulatus GN=RpS4 PE=2 SV=1 E(blastx)=2e-28
TRINITY_DN22241_c0_g1,Cathepsin L1 (Fragments) OS=Gallus gallus GN=CTSL PE=1 SV=1 E(blastx)=2e-36
TRINITY_DN37003_c0_g1,Universal stress protein MJ0531 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) GN=MJ0531 PE=3 SV=1 E(blastx)=3e-07
TRINITY_DN33284_c0_g1,Heterogeneous nuclear ribonucleoprotein A1 OS=Drosophila melanogaster GN=Hrb98DE PE=2 SV=1 E(blastx)=2e-19
TRINITY_DN6532_c0_g1,Peptidyl-prolyl cis-trans isomerase B OS=Aspergillus niger GN=cypB PE=3 SV=1 E(blastx)=5e-33
TRINITY_DN39539_c0_g1,E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens GN=UBR4 PE=1 SV=1 E(blastx)=1e-13
TRINITY_DN23773_c0_g1,60S ribosomal protein L15 OS=Ctenopharyngodon idella GN=rpl15 PE=2 SV=3 E(blastx)=1e-33
TRINITY_DN25787_c0_g1,Eukaryotic translation initiation factor 5A-1 OS=Oryctolagus cuniculus GN=EIF5A PE=1 SV=2 E(blastx)=8e-52
TRINITY_DN33455_c0_g1,Calmodulin OS=Agaricus bisporus PE=1 SV=2 E(blastx)=2e-09
TRINITY_DN531_c0_g1,Puff-specific protein Bx42 OS=Drosophila melanogaster GN=Bx42 PE=1 SV=1 E(blastx)=1e-21
TRINITY_DN2624_c0_g1,LDLR chaperone MESD OS=Danio rerio GN=mesdc2 PE=2 SV=2 E(blastx)=2e-36
TRINITY_DN18200_c0_g1,Heat shock protein HSP 90-alpha OS=Oryctolagus cuniculus GN=HSP90AA1 PE=1 SV=2 E(blastx)=2e-17
TRINITY_DN31140_c0_g1,SRSF protein kinase 2 OS=Mus musculus GN=Srpk2 PE=1 SV=2 E(blastx)=4e-54
TRINITY_DN32480_c0_g1,Coiled-coil domain-containing protein 93 OS=Gallus gallus GN=CCDC93 PE=2 SV=1 E(blastx)=3e-47
TRINITY_DN36032_c0_g1,"Tyrosine--tRNA ligase, cytoplasmic OS=Gallus gallus GN=YARS PE=2 SV=1 E(blastx)=2e-14"
TRINITY_DN31121_c0_g1,Alpha-soluble NSF attachment protein OS=Mus musculus GN=Napa PE=1 SV=1 E(blastx)=1e-34
TRINITY_DN12039_c1_g1,DIS3-like exonuclease 2 OS=Xenopus tropicalis GN=dis3l2 PE=2 SV=2 E(blastx)=2e-22
TRINITY_DN7132_c0_g1,Rootletin OS=Homo sapiens GN=CROCC PE=1 SV=1 E(blastx)=2e-14
TRINITY_DN33927_c1_g1,Endoplasmic reticulum-Golgi intermediate compartment protein 3 OS=Danio rerio GN=ergic3 PE=2 SV=1 E(blastx)=7e-40
TRINITY_DN1400_c0_g1,Rho-associated protein kinase 2 OS=Bos taurus GN=ROCK2 PE=1 SV=1 E(blastx)=1e-17
TRINITY_DN34646_c0_g1,IQ domain-containing protein G OS=Danio rerio GN=iqcg PE=1 SV=2 E(blastx)=1e-07
TRINITY_DN5246_c0_g1,Spermatogenesis-associated protein 13 OS=Mus musculus GN=Spata13 PE=1 SV=2 E(blastx)=2e-06
TRINITY_DN24711_c0_g1,S-adenosylmethionine synthase isoform type-1 OS=Mus musculus GN=Mat1a PE=1 SV=1 E(blastx)=2e-90
TRINITY_DN25680_c0_g1,40S ribosomal protein S19 OS=Mya arenaria GN=RPS19 PE=2 SV=1 E(blastx)=2e-14
TRINITY_DN39317_c0_g1,Nuclear pore complex protein Nup85 OS=Homo sapiens GN=NUP85 PE=1 SV=1 E(blastx)=2e-25
TRINITY_DN7112_c1_g1,Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens GN=CHD4 PE=1 SV=2 E(blastx)=8e-16
TRINITY_DN10671_c0_g1,26S proteasome non-ATPase regulatory subunit 11 OS=Mus musculus GN=Psmd11 PE=1 SV=3 E(blastx)=9e-15
TRINITY_DN23533_c0_g1,Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster GN=X-element\ORF2 PE=3 SV=1 E(blastx)=3e-06
TRINITY_DN34516_c0_g1,Lethal(3)malignant brain tumor-like protein 3 OS=Homo sapiens GN=L3MBTL3 PE=1 SV=2 E(blastx)=2e-09
TRINITY_DN26809_c0_g1,Glutathione S-transferase OS=Plasmodium yoelii yoelii GN=GST PE=3 SV=1 E(blastx)=7e-08
TRINITY_DN16819_c0_g1,Putative carbonic anhydrase 3 OS=Caenorhabditis elegans GN=cah-3 PE=3 SV=1 E(blastx)=1e-16
TRINITY_DN20151_c0_g1,Serine protease 30 OS=Mus musculus GN=Prss30 PE=2 SV=2 E(blastx)=8e-23
TRINITY_DN23046_c0_g1,Peptidoglycan recognition protein 1 OS=Camelus dromedarius GN=PGLYRP1 PE=1 SV=1 E(blastx)=3e-31
TRINITY_DN39678_c0_g1,"Polyadenylate-binding protein, cytoplasmic and nuclear OS=Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) GN=PAB1 PE=3 SV=1 E(blastx)=7e-17"
TRINITY_DN37044_c0_g1,ER membrane protein complex subunit 6 OS=Danio rerio GN=emc6 PE=3 SV=1 E(blastx)=7e-14
TRINITY_DN29621_c0_g1,Nuclear cap-binding protein subunit 3 OS=Danio rerio GN=ncbp3 PE=2 SV=1 E(blastx)=2e-16
TRINITY_DN31500_c0_g1,Ras-related C3 botulinum toxin substrate 1 OS=Rattus norvegicus GN=Rac1 PE=1 SV=1 E(blastx)=9e-31
TRINITY_DN36623_c0_g1,Sulfhydryl oxidase 1 OS=Rattus norvegicus GN=Qsox1 PE=1 SV=1 E(blastx)=7e-10
TRINITY_DN18880_c0_g1,Protein Hook homolog 3 OS=Mus musculus GN=Hook3 PE=1 SV=2 E(blastx)=4e-70
TRINITY_DN27089_c0_g1,Dynactin subunit 1 OS=Gallus gallus GN=DCTN1 PE=1 SV=2 E(blastx)=2e-28
TRINITY_DN28057_c0_g1,Scavenger receptor cysteine-rich type 1 protein M130 OS=Sus scrofa GN=CD163 PE=1 SV=1 E(blastx)=5e-13
TRINITY_DN21677_c0_g1,Ubiquitin carboxyl-terminal hydrolase 40 OS=Homo sapiens GN=USP40 PE=1 SV=3 E(blastx)=3e-17
TRINITY_DN30738_c0_g1,CUGBP Elav-like family member 1-B OS=Xenopus laevis GN=cugbp1-b PE=2 SV=1 E(blastx)=2e-26
TRINITY_DN39232_c0_g1,Inhibitor of growth protein 1 OS=Mus musculus GN=Ing1 PE=2 SV=1 E(blastx)=1e-11
TRINITY_DN15621_c0_g1,"Carnitine O-palmitoyltransferase 1, liver isoform OS=Mus musculus GN=Cpt1a PE=1 SV=4 E(blastx)=6e-11"
TRINITY_DN37545_c0_g1,NADH-ubiquinone oxidoreductase chain 3 OS=Metridium senile GN=ND3 PE=3 SV=1 E(blastx)=1e-10
TRINITY_DN5058_c0_g1,Protein c-ets-1-B (Fragment) OS=Xenopus laevis GN=ets1-b PE=2 SV=1 E(blastx)=2e-37
TRINITY_DN8353_c0_g1,Serine/threonine-protein kinase Tao OS=Drosophila melanogaster GN=Tao PE=1 SV=1 E(blastx)=6e-07
TRINITY_DN37812_c0_g1,Casein kinase I isoform alpha OS=Caenorhabditis elegans GN=kin-19 PE=3 SV=1 E(blastx)=1e-52
TRINITY_DN27623_c0_g1,Regulation of nuclear pre-mRNA domain-containing protein 1A OS=Mus musculus GN=Rprd1a PE=1 SV=1 E(blastx)=4e-13
TRINITY_DN5031_c0_g1,Transcription factor Sp3 OS=Homo sapiens GN=SP3 PE=1 SV=3 E(blastx)=2e-39
TRINITY_DN32356_c0_g1,Biogenesis of lysosome-related organelles complex 1 subunit 1 OS=Xenopus tropicalis GN=bloc1s1 PE=2 SV=1 E(blastx)=7e-23
TRINITY_DN29270_c0_g1,Leucine-rich repeat-containing protein 71 OS=Homo sapiens GN=LRRC71 PE=2 SV=1 E(blastx)=1e-05
TRINITY_DN21018_c0_g1,Homologous-pairing protein 2 homolog OS=Xenopus laevis GN=psmc3ip PE=2 SV=1 E(blastx)=5e-07
TRINITY_DN36132_c0_g1,Coiled-coil domain-containing protein 166 OS=Homo sapiens GN=CCDC166 PE=4 SV=1 E(blastx)=1e-09
TRINITY_DN14761_c0_g1,"28S ribosomal protein S6, mitochondrial OS=Bos taurus GN=MRPS6 PE=1 SV=4 E(blastx)=3e-17"
TRINITY_DN12465_c0_g1,Nucleolin OS=Xenopus laevis GN=ncl PE=2 SV=3 E(blastx)=4e-14
TRINITY_DN29457_c0_g1,Kinesin-like protein KIF3A OS=Mus musculus GN=Kif3a PE=1 SV=2 E(blastx)=4e-06
TRINITY_DN12037_c0_g1,Mevalonate kinase OS=Mus musculus GN=Mvk PE=1 SV=1 E(blastx)=2e-06
TRINITY_DN617_c0_g1,Programmed cell death protein 6 OS=Homo sapiens GN=PDCD6 PE=1 SV=1 E(blastx)=1e-24
TRINITY_DN14457_c0_g1,Dystonin OS=Mus musculus GN=Dst PE=1 SV=2 E(blastx)=1e-22
TRINITY_DN38693_c0_g1,Insulin-like growth factor-binding protein-related protein 1 OS=Cupiennius salei PE=2 SV=1 E(blastx)=9e-15
TRINITY_DN34925_c0_g1,AP-1 complex subunit sigma-2 OS=Dictyostelium discoideum GN=ap1s2 PE=3 SV=1 E(blastx)=1e-35
TRINITY_DN33334_c0_g1,U6 snRNA-associated Sm-like protein LSm1 OS=Bos taurus GN=LSM1 PE=2 SV=1 E(blastx)=1e-19
TRINITY_DN8480_c0_g1,Serine/threonine-protein kinase 3 OS=Danio rerio GN=stk3 PE=2 SV=1 E(blastx)=4e-20
TRINITY_DN19785_c0_g1,Peripheral-type benzodiazepine receptor-associated protein 1 OS=Mus musculus GN=Tspoap1 PE=2 SV=2 E(blastx)=1e-06
TRINITY_DN20798_c0_g1,Multidrug resistance-associated protein 1 OS=Canis lupus familiaris GN=ABCC1 PE=2 SV=1 E(blastx)=2e-06
TRINITY_DN30959_c0_g1,WD repeat-containing protein 13 OS=Mus musculus GN=Wdr13 PE=1 SV=1 E(blastx)=3e-07
TRINITY_DN21749_c0_g1,Peptidyl-prolyl cis-trans isomerase-like 3 OS=Gallus gallus GN=PPIL3 PE=2 SV=1 E(blastx)=3e-29
TRINITY_DN33549_c0_g1,PHD finger protein 6 OS=Mus musculus GN=Phf6 PE=1 SV=1 E(blastx)=7e-08
TRINITY_DN32468_c0_g1,UPF0389 protein GA21628 OS=Drosophila pseudoobscura pseudoobscura GN=GA21628 PE=3 SV=2 E(blastx)=8e-12
TRINITY_DN32023_c0_g1,ATP-dependent RNA helicase DDX24 OS=Mus musculus GN=Ddx24 PE=1 SV=2 E(blastx)=4e-37
TRINITY_DN32492_c0_g1,Voltage-dependent T-type calcium channel subunit alpha-1I OS=Homo sapiens GN=CACNA1I PE=1 SV=1 E(blastx)=2e-35
TRINITY_DN30072_c0_g1,Bis(5'-adenosyl)-triphosphatase enpp4 OS=Mus musculus GN=Enpp4 PE=1 SV=1 E(blastx)=1e-12
TRINITY_DN34815_c0_g1,N-alpha-acetyltransferase 10 OS=Mus musculus GN=Naa10 PE=1 SV=1 E(blastx)=2e-33
TRINITY_DN33149_c0_g1,Zinc carboxypeptidase A 1 OS=Anopheles gambiae GN=AGAP009593 PE=2 SV=3 E(blastx)=7e-07
TRINITY_DN36151_c0_g1,Protein scribble homolog OS=Homo sapiens GN=SCRIB PE=1 SV=4 E(blastx)=3e-15
TRINITY_DN503_c0_g1,Farnesyl pyrophosphate synthase OS=Bos taurus GN=FDPS PE=1 SV=1 E(blastx)=3e-22
TRINITY_DN32906_c0_g1,Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1 E(blastx)=7e-05
TRINITY_DN33034_c0_g1,Ubiquitin-conjugating enzyme E2 8 OS=Arabidopsis thaliana GN=UBC8 PE=1 SV=1 E(blastx)=2e-21
TRINITY_DN39577_c0_g1,Glyoxalase 3 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) GN=GLX3 PE=1 SV=1 E(blastx)=2e-05
TRINITY_DN39683_c0_g1,Prostaglandin E synthase 3 OS=Oryctolagus cuniculus GN=PTGES3 PE=3 SV=1 E(blastx)=1e-11
TRINITY_DN14214_c0_g1,Cilia- and flagella-associated protein 157 OS=Xenopus tropicalis GN=cfap157 PE=2 SV=1 E(blastx)=2e-56
TRINITY_DN33994_c0_g1,Coiled-coil domain-containing protein 42 homolog OS=Nematostella vectensis GN=v1g187067 PE=3 SV=1 E(blastx)=2e-29
TRINITY_DN23764_c0_g1,La-related protein 6 OS=Homo sapiens GN=LARP6 PE=1 SV=1 E(blastx)=5e-14
TRINITY_DN10362_c0_g1,Signal recognition particle subunit SRP72 OS=Homo sapiens GN=SRP72 PE=1 SV=3 E(blastx)=1e-13
